name,latitude,longitude,population
Seattle,47.6062,-122.3321,749256
Spokane,47.6588,-117.4260,228989
Tacoma,47.2529,-122.4443,219346
Vancouver,45.6387,-122.6615,190915
Bellevue,47.6101,-122.2015,151854
Kent,47.3809,-122.2348,136588
Everett,47.9790,-122.2021,110629
Renton,47.4829,-122.2171,106785
Spokane Valley,47.6732,-117.2394,102976
Federal Way,47.3223,-122.3126,101030
Yakima,46.6021,-120.5059,96968
Bellingham,48.7519,-122.4787,91482
Kennewick,46.2112,-119.1372,83921
Auburn,47.3073,-122.2285,82854
Pasco,46.2396,-119.1006,77108
Marysville,48.0518,-122.1771,70714
Lakewood,47.1717,-122.5185,63612
Redmond,47.6740,-122.1215,73256
Shoreline,47.7557,-122.3415,58608
Richland,46.2856,-119.2844,60560
Kirkland,47.6815,-122.2087,92175
Burien,47.4704,-122.3468,51500
Sammamish,47.6163,-122.0356,67455
Olympia,47.0379,-122.9007,55605
Lacey,47.0343,-122.8232,53526
Edmonds,47.8107,-122.3774,42853
Bremerton,47.5673,-122.6326,41258
Puyallup,47.1854,-122.2929,42973
Wenatchee,47.4235,-120.3103,34619
Ellensburg,46.9965,-120.5478,20977
